
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|      486       |  7.9328e+037   |  6.8413e+094   |
|      487       |  3.4767e+037   |  6.8413e+094   |
|      488       |  1.5206e+037   |  6.8413e+094   |
|      489       |   6.637e+036   |  6.8413e+094   |
|      490       |   2.891e+036   |  6.8413e+094   |
|      491       |  1.2567e+036   |  6.8413e+094   |
|      492       |  5.4516e+035   |  6.8413e+094   |
|      493       |  2.3601e+035   |  6.8413e+094   |
|      494       |  1.0197e+035   |  6.8413e+094   |
|      495       |  4.3966e+034   |  6.8413e+094   |
|      496       |  1.8919e+034   |  6.8413e+094   |
|      497       |  8.1243e+033   |  6.8413e+094   |
|      498       |  3.4818e+033   |  6.8413e+094   |
|      499       |  1.4892e+033   |  6.8413e+094   |
|      500       |  6.3567e+032   |  6.8413e+094   |
|      501       |  2.7079e+032   |  6.8413e+094   |
|      502       |  1.1513e+032   |  6.8413e+094   |
|      503       |  4.8849e+031   |  6.8413e+094   |
|      504       |  2.0685e+031   |  6.8413e+094   |
|      505       |   8.742e+030   |  6.8413e+094   |
|      506       |  3.6872e+030   |  6.8413e+094   |
|      507       |  1.5521e+030   |  6.8413e+094   |
|      508       |  6.5207e+029   |  6.8413e+094   |
|      509       |  2.7341e+029   |  6.8413e+094   |
|      510       |  1.1441e+029   |  6.8413e+094   |
|      511       |  4.7783e+028   |  6.8413e+094   |
|      512       |  1.9917e+028   |  6.8413e+094   |
|      513       |  8.2859e+027   |  6.8413e+094   |
|      514       |  3.4403e+027   |  6.8413e+094   |
|      515       |  1.4257e+027   |  6.8413e+094   |
|      516       |  5.8964e+026   |  6.8413e+094   |
|      517       |   2.434e+026   |  6.8413e+094   |
|      518       |  1.0028e+026   |  6.8413e+094   |
|      519       |  4.1234e+025   |  6.8413e+094   |
|      520       |  1.6922e+025   |  6.8413e+094   |
|      521       |  6.9317e+024   |  6.8413e+094   |
|      522       |  2.8339e+024   |  6.8413e+094   |
|      523       |  1.1563e+024   |  6.8413e+094   |
|      524       |  4.7094e+023   |  6.8413e+094   |
